x, y, vx, vy
12, 132, 5.40493, 4.91626
12, 136, 5.12297, 3.9094
12, 140, 4.91655, 3.12362
12, 144, 4.78899, 2.49542
12, 148, 4.7056, 1.97904
12, 152, 4.63393, 1.56147
12, 156, 4.56086, 1.23471
12, 160, 4.48884, 0.982601
12, 164, 4.42599, 0.783841
12, 168, 4.37695, 0.619138
12, 172, 4.34155, 0.475253
12, 176, 4.31848, 0.348536
12, 180, 4.3085, 0.24325
12, 184, 4.31255, 0.16119
12, 188, 4.32754, 0.100278
12, 192, 4.34645, 0.0578921
12, 196, 4.3614, 0.0304469
16, 0, 4.45764, 0.0130851
16, 4, 4.45021, -0.0423704
16, 8, 4.43249, -0.101352
16, 12, 4.41242, -0.167533
16, 16, 4.3987, -0.244837
16, 20, 4.40011, -0.337705
16, 24, 4.42464, -0.451933
16, 28, 4.47761, -0.589729
16, 32, 4.56075, -0.749116
16, 36, 4.67386, -0.935634
16, 40, 4.81618, -1.16829
16, 44, 4.98458, -1.47733
16, 48, 5.17083, -1.89724
16, 52, 5.36562, -2.45078
16, 56, 5.58177, -3.15159
16, 60, 5.87074, -4.04382
16, 64, 6.30501, -5.16217
16, 68, 6.90389, -6.63827
16, 72, 7.3909, -8.39883
16, 76, 5.01249, -6.87614
16, 80, 0, 0
16, 84, 0, 0
16, 88, 0, 0
16, 92, 0, 0
16, 96, 0, 0
16, 100, 0, 0
16, 104, 0, 0
16, 108, 0, 0
16, 112, 0, 0
16, 116, 0, 0
16, 120, 0, 0
16, 124, 4.99556, 6.85356
16, 128, 7.36833, 8.37655
16, 132, 6.88241, 6.6236
16, 136, 6.28437, 5.15359
16, 140, 5.85149, 4.04103
16, 144, 5.56448, 3.15533
16, 148, 5.35067, 2.46085
16, 152, 5.15829, 1.91311
16, 156, 4.97443, 1.4977
16, 160, 4.80855, 1.19205
16, 164, 4.66909, 0.962182
16, 168, 4.55898, 0.777817
16, 172, 4.47859, 0.619395
16, 176, 4.4277, 0.481107
16, 180, 4.40411, 0.365691
16, 184, 4.40241, 0.271973
16, 188, 4.41517, 0.194318
16, 192, 4.43428, 0.127888
16, 196, 4.45115, 0.0686517
20, 0, 4.52164, 0.0163635
20, 4, 4.51691, -0.0538704
20, 8, 4.50507, -0.120907
20, 12, 4.49105, -0.185408
20, 16, 4.48281, -0.249299
20, 20, 4.49185, -0.315829
20, 24, 4.53096, -0.392754
20, 28, 4.61086, -0.487864
20, 32, 4.73725, -0.606579
20, 36, 4.91232, -0.759418
20, 40, 5.14018, -0.970529
20, 44, 5.42664, -1.28364
20, 48, 5.76864, -1.75833
20, 52, 6.14864, -2.44856
20, 56, 6.56775, -3.38938
20, 60, 7.12895, -4.5999
20, 64, 7.97503, -6.281
20, 68, 8.71227, -8.07589
20, 72, 4.58848, -4.63444
20, 76, 0, 0
20, 80, 0, 0
20, 84, 0, 0
20, 88, 0, 0
20, 92, 0, 0
20, 96, 0, 0
20, 100, 0, 0
20, 104, 0, 0
20, 108, 0, 0
20, 112, 0, 0
20, 116, 0, 0
20, 120, 0, 0
20, 124, 0, 0
20, 128, 4.56451, 4.61179
20, 132, 8.67769, 8.05321
20, 136, 7.94364, 6.27199
20, 140, 7.10031, 4.6027
20, 144, 6.54142, 3.40135
20, 148, 6.12603, 2.46902
20, 152, 5.7503, 1.78489
20, 156, 5.41243, 1.31488
20, 160, 5.1302, 1.00555
20, 164, 4.90649, 0.797135
20, 168, 4.735, 0.645904
20, 172, 4.61155, 0.527545
20, 176, 4.53388, 0.431079
20, 180, 4.49605, 0.351701
20, 184, 4.48703, 0.283043
20, 188, 4.49421, 0.218193
20, 192, 4.50679, 0.153541
20, 196, 4.51752, 0.0865632
24, 0, 4.52851, 0.0198417
24, 4, 4.53036, -0.0496893
24, 8, 4.53397, -0.11817
24, 12, 4.53678, -0.18378
24, 16, 4.54457, -0.24316
24, 20, 4.57033, -0.296528
24, 24, 4.62956, -0.352058
24, 28, 4.73655, -0.421352
24, 32, 4.90205, -0.515536
24, 36, 5.13519, -0.647472
24, 40, 5.45009, -0.838508
24, 44, 5.8719, -1.13186
24, 48, 6.42462, -1.61348
24, 52, 7.09291, -2.40165
24, 56, 7.85938, -3.57382
24, 60, 8.91219, -5.27041
24, 64, 10.1202, -7.39456
24, 68, 5.78542, -5.25143
24, 72, 0, 0
24, 76, 0, 0
24, 80, 0, 0
24, 84, 0, 0
24, 88, 0, 0
24, 92, 0, 0
24, 96, 0, 0
24, 100, 0, 0
24, 104, 0, 0
24, 108, 0, 0
24, 112, 0, 0
24, 116, 0, 0
24, 120, 0, 0
24, 124, 0, 0
24, 128, 0, 0
24, 132, 5.73847, 5.21376
24, 136, 10.0676, 7.3838
24, 140, 8.86719, 5.28337
24, 144, 7.82037, 3.60368
24, 148, 7.06105, 2.44205
24, 152, 6.40041, 1.66106
24, 156, 5.85549, 1.18365
24, 160, 5.44037, 0.892055
24, 164, 5.1303, 0.701431
24, 168, 4.90061, 0.569336
24, 172, 4.73744, 0.473958
24, 176, 4.63197, 0.401896
24, 180, 4.57366, 0.342397
24, 184, 4.54813, 0.28528
24, 188, 4.53982, 0.22369
24, 192, 4.53603, 0.157461
24, 196, 4.53137, 0.0891791
28, 0, 4.52115, 0.0213044
28, 4, 4.52867, -0.0790705
28, 8, 4.54788, -0.187453
28, 12, 4.57182, -0.297796
28, 16, 4.60261, -0.397509
28, 20, 4.65112, -0.481605
28, 24, 4.73263, -0.556568
28, 28, 4.86369, -0.634819
28, 32, 5.06147, -0.729432
28, 36, 5.34451, -0.855688
28, 40, 5.73789, -1.03515
28, 44, 6.28883, -1.30647
28, 48, 7.06978, -1.75835
28, 52, 8.12561, -2.56024
28, 56, 9.43385, -3.93132
28, 60, 11.1893, -5.95731
28, 64, 9.96426, -6.34702
28, 68, 0, 0
28, 72, 0, 0
28, 76, 0, 0
28, 80, 0, 0
28, 84, 0, 0
28, 88, 0, 0
28, 92, 0, 0
28, 96, 0, 0
28, 100, 0, 0
28, 104, 0, 0
28, 108, 0, 0
28, 112, 0, 0
28, 116, 0, 0
28, 120, 0, 0
28, 124, 0, 0
28, 128, 0, 0
28, 132, 0, 0
28, 136, 9.84067, 6.29836
28, 140, 11.1133, 5.98426
28, 144, 9.37739, 3.98584
28, 148, 8.083, 2.62948
28, 152, 7.04084, 1.83322
28, 156, 6.27151, 1.38056
28, 160, 5.72931, 1.1069
28, 164, 5.34225, 0.924471
